;;[TIMESERIES]
;;Name YY MM DD HH mm Value
;;---- -- -- -- -- -- -----
2-yr 2021 01 01 00 00 1.143
2-yr 2021 01 01 00 05 1.143
2-yr 2021 01 01 00 10 1.143
2-yr 2021 01 01 00 15 1.143
2-yr 2021 01 01 00 20 1.143
2-yr 2021 01 01 00 25 1.143
2-yr 2021 01 01 00 30 9.7
2-yr 2021 01 01 00 35 1.143
2-yr 2021 01 01 00 40 0.307
2-yr 2021 01 01 00 45 0.307
2-yr 2021 01 01 00 50 0.307
2-yr 2021 01 01 00 55 0.307
2-yr 2021 01 01 01 00 0.307
2-yr 2021 01 01 01 05 0.307
2-yr 2021 01 01 01 10 0.307
2-yr 2021 01 01 01 15 0.307
2-yr 2021 01 01 01 20 0.307
2-yr 2021 01 01 01 25 0.307
2-yr 2021 01 01 01 30 0.307
2-yr 2021 01 01 01 35 0.307
2-yr 2021 01 01 01 40 0.307
2-yr 2021 01 01 01 45 0.307
2-yr 2021 01 01 01 50 0.307
2-yr 2021 01 01 01 55 0.041
